epoch,learning_rate,loss,step
23.52,1e-05,0.5706,5340
23.57,1e-05,0.5626,5350
23.61,1e-05,0.6733,5360
23.66,1e-05,0.5867,5370
23.7,1e-05,0.617,5380
23.74,1e-05,0.6674,5390
23.79,1e-05,0.6006,5400
23.83,1e-05,0.583,5410
23.88,1e-05,0.6963,5420
23.92,1e-05,0.5754,5430
23.96,1e-05,0.5983,5440
24.01,1e-05,0.7115,5450
24.05,1e-05,0.6509,5460
24.1,1e-05,0.5937,5470
24.14,1e-05,0.6076,5480
24.19,1e-05,0.5378,5490
24.23,1e-05,0.517,5500
24.27,1e-05,0.5426,5510
24.32,1e-05,0.6361,5520
24.36,1e-05,0.5819,5530
24.41,1e-05,0.5702,5540
24.45,1e-05,0.5357,5550
24.49,1e-05,0.6286,5560
24.54,1e-05,0.7077,5570
24.58,1e-05,0.5572,5580
24.63,1e-05,0.5573,5590
24.67,1e-05,0.5997,5600
24.71,1e-05,0.5273,5610
24.76,1e-05,0.5911,5620
24.8,1e-05,0.6049,5630
24.85,1e-05,0.6479,5640
24.89,1e-05,0.5625,5650
24.93,1e-05,0.4897,5660
24.98,1e-05,0.6322,5670
25.02,1e-05,0.5559,5680
25.07,1e-05,0.5607,5690
25.11,1e-05,0.5289,5700
25.15,1e-05,0.6165,5710
25.2,1e-05,0.6598,5720
25.24,1e-05,0.6211,5730
25.29,1e-05,0.5703,5740
25.33,1e-05,0.5906,5750
25.37,1e-05,0.5857,5760
25.42,1e-05,0.6683,5770
25.46,1e-05,0.5226,5780
25.51,1e-05,0.5255,5790
25.55,1e-05,0.5472,5800
25.59,1e-05,0.4954,5810
25.64,1e-05,0.6139,5820
25.68,1e-05,0.5487,5830
25.73,1e-05,0.5016,5840
25.77,1e-05,0.5672,5850
25.81,1e-05,0.5541,5860
25.86,1e-05,0.5544,5870
25.9,1e-05,0.5839,5880
25.95,1e-05,0.5073,5890
25.99,1e-05,0.5361,5900
26.04,1e-05,0.5195,5910
26.08,1e-05,0.5239,5920
26.12,1e-05,0.636,5930
26.17,1e-05,0.5538,5940
26.21,1e-05,0.5518,5950
26.26,1e-05,0.4882,5960
26.3,1e-05,0.5688,5970
26.34,1e-05,0.4774,5980
26.39,1e-05,0.4902,5990
26.43,1e-05,0.4752,6000
26.48,1e-05,0.5876,6010
26.52,1e-05,0.6228,6020
26.56,1e-05,0.551,6030
26.61,1e-05,0.5488,6040
26.65,1e-05,0.5031,6050
26.7,1e-05,0.5318,6060
26.74,1e-05,0.5169,6070
26.78,1e-05,0.5582,6080
26.83,1e-05,0.4982,6090
26.87,1e-05,0.5942,6100
26.92,1e-05,0.473,6110
26.96,1e-05,0.4904,6120
